boat_id;x;y;width;height;timestamp
Boat 1;329;702;78;49;0.0
Boat 2;336;715;37;34;0.0
Boat 3;381;631;115;50;0.0
Boat 4;1041;595;76;98;0.0
Boat 4;329;702;78;49;0.0
Boat 4;336;715;37;34;0.0
Boat 4;381;631;115;50;0.0
Boat 4;1041;595;76;98;0.0
Boat 1;145;798;50;48;0.0
Boat 2;52;729;111;60;0.0
Boat 3;73;761;54;23;0.0
Boat 4;346;641;123;79;0.0
Boat 5;1041;590;80;108;0.0
Boat 6;1042;567;82;33;0.0
Boat 7;635;348;95;45;0.0
Boat 8;544;340;74;28;0.0
Boat 9;545;351;56;17;0.0
Boat 9;145;798;50;48;0.03336666666666667
Boat 9;52;729;111;60;0.03336666666666667
Boat 9;73;761;54;23;0.03336666666666667
Boat 9;346;641;123;79;0.03336666666666667
Boat 9;1041;590;80;108;0.03336666666666667
Boat 9;1042;567;82;33;0.03336666666666667
Boat 9;635;348;95;45;0.03336666666666667
Boat 9;544;340;74;28;0.03336666666666667
Boat 9;545;351;56;17;0.03336666666666667
Boat 1;66;883;88;127;0.0
Boat 2;137;882;42;46;0.0
Boat 3;139;896;26;32;0.0
Boat 4;1047;597;90;95;0.0
Boat 5;55;587;82;56;0.0
Boat 6;177;540;162;56;0.0
Boat 7;31;529;153;53;0.0
Boat 8;790;456;148;39;0.0
Boat 9;567;389;53;17;0.0
Boat 10;532;340;86;29;0.0
Boat 10;66;883;88;127;0.06673333333333334
Boat 10;137;882;42;46;0.06673333333333334
Boat 10;139;896;26;32;0.06673333333333334
Boat 10;1047;597;90;95;0.06673333333333334
Boat 10;55;587;82;56;0.06673333333333334
Boat 10;177;540;162;56;0.06673333333333334
Boat 10;31;529;153;53;0.06673333333333334
Boat 10;790;456;148;39;0.06673333333333334
Boat 10;567;389;53;17;0.06673333333333334
Boat 10;532;340;86;29;0.06673333333333334
Boat 1;131;1040;36;40;0.0
Boat 2;43;999;68;78;0.0
Boat 3;240;882;30;42;0.0
Boat 4;99;670;141;101;0.0
Boat 5;357;660;96;49;0.0
Boat 6;73;621;83;35;0.0
Boat 7;59;599;83;39;0.0
Boat 8;1016;563;92;79;0.0
Boat 9;28;530;127;56;0.0
Boat 10;55;485;158;51;0.0
Boat 11;465;461;150;34;0.0
Boat 11;131;1040;36;40;0.10010000000000001
Boat 11;43;999;68;78;0.10010000000000001
Boat 11;240;882;30;42;0.10010000000000001
Boat 11;99;670;141;101;0.10010000000000001
Boat 11;357;660;96;49;0.10010000000000001
Boat 11;73;621;83;35;0.10010000000000001
Boat 11;59;599;83;39;0.10010000000000001
Boat 11;1016;563;92;79;0.10010000000000001
